Name,Size,SEO_url
KALI BHAIRAV MANDALA,0.75 x 0.75 m,kali-bhairav-mandala
TIME TO BURN,0.75 x 1.12 m,time-to-burn
WATER,0.75 x 0.75 m,water
DARK FOREST,1.11 x 0.75 m,dark-forest
HARLEY QUINN,0.75 x 0.90 m,harley-quinn
SUMMERTIME,0.75 x 1.13 m,summertime
SARASVATI,0.75 x 1.13 m,sarasvati
VENOM,1.00 x 0.75 m,venom
JAGUAR,0.80 x 0.75 m,jaguar
DREAMCATCHERS,1.12 x 0.75 m,dreamcatchers
BOOM SHIVA,1.13 x 0.75 m,boom-shiva
OWLS GORIZONT,1.13 x 0.75 m,owls-gorizont
TEA MASTER,1.13 x 0.75 m,tea-master
GANESHA,0.75 x 1.13 m,ganesha
SHRI YANTRA,0.75 x 0.75 m,shri-yantra
ARCHITECT,0.75 x 0.75 m,architect
COSMIC TEA,1.31 x 0.75 m,cosmic-tea
SHAMANIC SUN,1.34 x 0.75 m,shamanic-sun
SANTA MADRE,0.75 x 0.96 m,santa-madre
FENIX,1.07 x 0.75 m,fenix
ROYAL COBRA,1.13 x 0.75 m,royal-cobra
DRAGON TALES,1.13 x 0.75 m,dragon-tales
AZTEC MANDALA,0.75 x 0.75 m,aztec-mandala
BUDDHA,0.75 x 1.13 m,buddha
COSMIC TEMPLE,1.30 x 0.75 m,cosmic-temple
PSYDROP,0.75 x 0.75 m,psydrop
DURGA,1.12 x 0.75 m,durga
KISS ON THE RAVE,0.75 x 0.75 m,kiss-on-the-rave
FIRE,0.75 x 0.75 m,fire
ALCHEMY,1.13 x 0.75 m,alchemy
BABA NAM KEVALAM,0.75 x 0.75 m,baba-nam-kevalam
VERTICAL OWLS,0.75 x 1.13 m,vertical-owls
NRISIMHA,0.75 x 1.13 m,nrisimha
HANUMAN,0.75 x 1.12 m,hanuman
SHIVA AND SHAKTI,1.13 x 0.75 m,shiva-and-shakti
THAI CHILL,1.12 x 0.75 m,thai-chill
LIBERTY CAP,0.75 x 1.13 m,liberty-cap
ACID VISION,1.13 x 0.75 m,acid-vision
ASTRAL GEOMETRY,0.75 x 1.13 m,astral-geometry
COSMIC MONK,1.12 x 0.75 m,cosmic-monk
FREEDOM WAVE,0.75 x 0.75 m,freedom-wave
FRACTAL BEE,1.13 x 0.75 m,fractal-bee
